Unnamed:0,author sentiment,sentiment,text,date,likecount,movie
18,@Jaco927,0,WOW! I never saw Stansfield at 0:47 on the left of the screen. That's an awesome bit of detail!,2018-03-27T00:47:41Z,72,sad_video3 Leon the profession (1).xlsx
19,@klossner34,1,Leon was an awesome character,2013-09-19T02:32:51Z,71,sad_video3 Leon the profession (1).xlsx
20,@reyam1218,4,This was so sad. Leon was such a kind soul who deserved better,2018-09-18T19:32:04Z,61,sad_video3 Leon the profession (1).xlsx
21,@hansruhlmann454,4,"Who else here think Leon's death was sad, and there should be a sequel with Matilda as the main character?",2018-08-28T18:26:39Z,51,sad_video3 Leon the profession (1).xlsx
22,@user-bd1xq1hc2x,4,I cried because you can see how happy he is before he died :(,2020-07-12T13:58:45Z,42,sad_video3 Leon the profession (1).xlsx
23,@twoguyskissingpng,4,"Damn this was bittersweet, I teared up a bit.",2018-04-18T03:47:33Z,35,sad_video3 Leon the profession (1).xlsx
24,@TheRoook,4,R.I.P Leon,2014-03-14T14:41:20Z,34,sad_video3 Leon the profession (1).xlsx
25,@brfswigcham,0,"""This is . . . . from. . . . Matilda.""",2013-07-03T05:55:16Z,33,sad_video3 Leon the profession (1).xlsx
26,@theimpishscribe7868,4,"Every time, him walking towards the door, light at the end of the tunnel: hope, redemption .. echoing the light when Leon opens the door for Mathilde. 

She taught him love, as a child teaches their father: it's why he says ""I want roots"" ..

I cry every time.",2021-05-15T16:52:15Z,30,sad_video3 Leon the profession (1).xlsx
27,@denisfrfr,0,"I love how Money Heist/La Casa De Papel ending of the first part of the season 5 is similar to this scene. This movie really influenced Tokyo's character. Also, Mathilda looks like Tokyo when she was younger 💕",2021-09-03T22:23:03Z,23,sad_video3 Leon the profession (1).xlsx
28,@peterzimmerman1114,1,"He was already a dead man when he pulled the grenade pins, I doubt any doctor could have saved him at that point. At least he got the guy that put him through hell. Alternative would have been to blead to death or get executed by Stansfield, I don't think Stansfield would have allowed him to live.",2013-10-27T21:37:15Z,22,sad_video3 Leon the profession (1).xlsx
29,@o.portista,1,"A truly unforgettable masterpiece, and a touching film. With such a perfect cast of the Underrated Jean Reno, Natalie Portman, Gary Oldman, and so many others, it literally created a film that was perfect with such a strong emotional, action-packed storyline and what a soundtrack. Honestly, one of the very few films, that you can truly say has no flaws, and one that everyone can agree is perfect. With such a low budget to work with, created a true masterpiece,  A film, that'll never be forgotten.",2023-02-05T09:24:47Z,22,sad_video3 Leon the profession (1).xlsx
30,@UltramanMebiusBrave,0,"When Stansfield says the s-word before dying, he finally has that one emotion he's been hiding from others: Fear.",2023-05-14T17:24:04Z,22,sad_video3 Leon the profession (1).xlsx
31,@MrBeckenhimself,0,"Yeah Stansfield got him, but he never really got his moment as Leon made sure he took Stansfield with him.",2018-01-07T13:14:10Z,21,sad_video3 Leon the profession (1).xlsx
32,@somerandomchannelify,1,This would be good for a video game ending,2013-08-01T08:36:20Z,20,sad_video3 Leon the profession (1).xlsx
33,@FherKa19,1,"This has to be one of the greatest comeback scene in a movie ever...

Within a minute the guy thought he was the shit for having killed the guy he had so much trouble capturing only to shit his pants knowing he is pretty much dead 30 seconds later",2019-01-01T03:52:04Z,18,sad_video3 Leon the profession (1).xlsx
34,@mac_c,1,This movie is epic. Gary definitely should've been up for an Oscar for his performance.,2019-09-01T02:08:20Z,17,sad_video3 Leon the profession (1).xlsx
35,@duburnett6496,0,Stansfield you son of a bitch !,2016-08-27T15:11:38Z,16,sad_video3 Leon the profession (1).xlsx
36,@Gswitonper,0,Still one of my top five movies of all time <3,2013-04-18T22:20:35Z,16,sad_video3 Leon the profession (1).xlsx
37,@betoliondeux4165,1,"They were both genius killers, Stansfield was so clever to figure who the hit man was...and Leon was exclusively clever for knowing that Standsfield would catch up to him and that he had to get a plan ready to kill them both: bomb best.",2021-01-02T07:37:21Z,16,sad_video3 Leon the profession (1).xlsx
38,@JayJay-dm8bn,0,"Know that Leon's decision in this moment led to his demise but he made sure to go out with a bang and in doing so sealed the fate of his pursuer and secured the future of his beloved sidekick, his dear love and set aside financial aid for her to prosper into her fruitful life. Beautiful to the core 💕",2022-03-18T05:47:11Z,15,sad_video3 Leon the profession (1).xlsx
39,@james87367,4,I cried like a baby at this ending.,2020-10-10T20:31:12Z,15,sad_video3 Leon the profession (1).xlsx
40,@BrokenGodEnt,4,This scene is heartbreaking.,2019-07-27T04:59:28Z,13,sad_video3 Leon the profession (1).xlsx
41,@Ownedyouhard,0,I think you've had enough internet for today.,2013-08-17T16:53:51Z,13,sad_video3 Leon the profession (1).xlsx
42,@leomarsubala115,0,"Tokyo : Hello Leon from the Professional. 
Leon : Hello Tokyo from Money Heist.",2021-09-04T11:46:58Z,12,sad_video3 Leon the profession (1).xlsx
43,@rolo07080,0,"""SHIT"" ",2014-06-04T22:09:50Z,12,sad_video3 Leon the profession (1).xlsx
44,@calowenby1654,1,"Such a fuckin’ classic. I’m also just now noticing the dichotomy between Leon and Norman’s last moments. Leon is calm, at peace, and trying his best to speak, while Norman is scared, frenzied, and trying his best to look calm. It’s been eight months and twenty days since I last saw this one, and now I kinda feel like rewatching it.",2022-06-29T22:44:38Z,11,sad_video3 Leon the profession (1).xlsx
45,@okamisenpai5528,4,Why I am crying :'(,2020-06-25T16:17:56Z,11,sad_video3 Leon the profession (1).xlsx
46,@ACountryDoctor,0,"You mean ""The scene in which Stansfield is killed by Léon in the movie""",2013-07-06T14:10:06Z,11,sad_video3 Leon the profession (1).xlsx
47,@user-np3jh8bs5c,4,R.I.P THE BEST PROFESIONAL,2018-09-02T12:54:27Z,10,sad_video3 Leon the profession (1).xlsx
48,@bleppebleppsson1169,1,"""Fuck you, Stansfield!""

One of my favourite movies.",2014-02-03T20:33:21Z,10,sad_video3 Leon the profession (1).xlsx
49,@WernerKlorand,0,Luc Besson was 35 when he directed that masterpiece of a film. It is hard to comprehend how deep that man has fallen with all those s**t movies that he has produced over the last 15 years! Revenge plus hectic camera cuts plus Citroen cop cars chasing big German cars - that's about everything that is left from Besson's ingenuity - and that is sad.,2020-10-21T23:10:32Z,10,sad_video3 Leon the profession (1).xlsx
50,@commander_expendable,0,that momment when lost a bet of 10 million 2:55,2018-12-21T00:01:09Z,10,sad_video3 Leon the profession (1).xlsx
51,@ecam90,0,"Juuust like johnny flynn said: ""the breath I've taken and the one I must to go on, put the grenade pin in your hand, so you understand who's boss.""
♬",2013-02-18T20:01:56Z,10,sad_video3 Leon the profession (1).xlsx
52,@adecentmeal,1,"One of the greatest performances of all time by Oldman in this, and of course Reno as well but Oldman really stole the show",2021-06-16T05:52:59Z,8,sad_video3 Leon the profession (1).xlsx
53,@Zeebius,4,"This is Truly, one of the most painful to watch deaths in a movie.",2023-04-30T11:53:26Z,8,sad_video3 Leon the profession (1).xlsx
54,@MrLavajet,4,"I haven't cried that much since ""Up.""",2013-07-12T04:49:57Z,8,sad_video3 Leon the profession (1).xlsx
55,@PewDicate,0,"I remember when I was about 5 years old and I watched part of this movie with my dad and all I remember is a secret door knock, a guy with plant and a girl named Mathilda",2020-01-10T15:50:19Z,7,sad_video3 Leon the profession (1).xlsx
56,@christopherlee3163,1,Leon went out OG Style! Even in death he still Bodied that cop!!,2021-06-25T21:42:12Z,7,sad_video3 Leon the profession (1).xlsx
57,@zekeedwards7904,0,Gary oldman was unbelievably good in this movie,2022-07-23T17:40:18Z,7,sad_video3 Leon the profession (1).xlsx
58,@tropicvibe,0,1:22 Stansfield can't contain his glee at shooting unsuspecting Leon in the back of the skull,2018-05-21T17:53:13Z,7,sad_video3 Leon the profession (1).xlsx
59,@johnhunt2973,0,that grenade has a really long fuse,2019-06-25T01:33:48Z,6,sad_video3 Leon the profession (1).xlsx
60,@Derret134,0,Fucking Martyrdom!,2013-08-30T19:17:18Z,6,sad_video3 Leon the profession (1).xlsx
61,@creaturedomes9364,1,I love this movie 👍❤️,2020-06-08T10:55:54Z,6,sad_video3 Leon the profession (1).xlsx
62,@siseleai,2,i laughed a lot at stansfield's death XD,2012-07-11T16:34:01Z,6,sad_video3 Leon the profession (1).xlsx
63,@adibeh,0,shape of my heart by sting,2013-05-20T19:30:31Z,5,sad_video3 Leon the profession (1).xlsx
64,@ShafHussain,0,Never noticed before...you can see Stansfield stationed in the doorway just as Leon removes the mask at 00:47,2020-11-23T23:39:09Z,5,sad_video3 Leon the profession (1).xlsx
65,@marinam.2293,4,"I'm not crying, you're crying. Oh wait... we're all crying.

Damn it, so close...but what a spectacular way to take out that POS, Stansfield. What a movie.",2021-04-15T12:23:06Z,5,sad_video3 Leon the profession (1).xlsx
66,@Broken_and_pale,4,Rest in peace leon,2023-02-25T05:44:40Z,5,sad_video3 Leon the profession (1).xlsx
67,@2004thegrudge,0,two ways out by eric serra. epic song i think,2013-08-02T12:36:19Z,5,sad_video3 Leon the profession (1).xlsx
68,@coryinthehouse5734,0,See how the walk into the light is a metaphor for his death as he goes willingly,2018-07-01T23:15:35Z,5,sad_video3 Leon the profession (1).xlsx
69,@calowenby1654,0,"Looking back on it, the movie, or at least this scene, has one of the most unique scores out of any 90s action movie I’ve ever seen.",2022-08-15T20:41:03Z,5,sad_video3 Leon the profession (1).xlsx
70,@عقيدالفيفا,4,"I remember I cried a lot when I was watching this movie. And the end of it when Leon died. It made me to be sad for long time and had issues with eating and sleeping :(

I still feel sad for him and cried again after watch this video. Hope that he didn't die",2019-11-09T12:05:48Z,5,sad_video3 Leon the profession (1).xlsx
71,@Sting1986,0,I watched the film for the first time today,2018-02-19T23:52:19Z,5,sad_video3 Leon the profession (1).xlsx
72,@arahiapro,0,I watched this masterpiece over 10 times never get tired of watching it  what a movie!,2022-04-29T06:09:18Z,4,sad_video3 Leon the profession (1).xlsx
73,@reverietapes,4,This is one of the few movies I cried,2018-11-26T03:02:30Z,4,sad_video3 Leon the profession (1).xlsx
74,@alexnlazar,0,Tokyo brought me here :(,2021-09-03T14:50:56Z,4,sad_video3 Leon the profession (1).xlsx
75,@REALHIPHOPLOVE24,0,*CLASSIC!*,2018-10-01T04:35:40Z,4,sad_video3 Leon the profession (1).xlsx
76,@WangLaker,4,Wow. Leon sacrificed himself and it's really sad to see him pass away.,2023-03-28T22:42:07Z,4,sad_video3 Leon the profession (1).xlsx
77,@mistermonologue2442,0,"""This is from Matilda""",2019-07-03T17:39:12Z,4,sad_video3 Leon the profession (1).xlsx
78,@stevenhenry7862,0,"My friend used to know a person like this, who actually saved her life. She cries when ever I ask too deep. So I tracked it down. This is a right story, none fiction! 

All's I know was...He was Ex British S.A.S & His name was Pete. He worked as a Barber & then Lawyer, being born in South Manchester.  

However, he is still to this day, known to be alive amongst the knowledge of the local Council & some locals who know who he is. 

He has the best street to live on, as from when he moved in. The local Drug Dealers must have moved away. There's, no drugs, robberies, house burglaries or cruelty to animals. These statistics,  had dramatically reduced in their area, when the family moved in. 

I would LOVE to know the S.P. on this guy, but the Public know who he is & no one will talk?? 

The public in England, seem to protect their SPECIAL FORCES Soldiers & give no quarter to those who pray. 

How switched on the population of the ""Lines""  were, is commendable.

God Save The Queen!",2019-02-20T04:18:52Z,4,sad_video3 Leon the profession (1).xlsx
79,@littermixersHQ,4,Why can I not stop crying?,2012-11-02T16:36:43Z,3,sad_video3 Leon the profession (1).xlsx
80,@isaacrg5165,4,"Here in 2021 watching again the ending of the best movie ever, such a great masterpiece.❤",2021-01-07T01:56:29Z,3,sad_video3 Leon the profession (1).xlsx
81,@Ben-xl7ft,1,Very satisfying death for Stansfiled,2019-12-08T12:45:19Z,3,sad_video3 Leon the profession (1).xlsx
82,@soulonsoul85,1,"i watch this movie 4 times a year, and every time it's stronger then before. amazing!",2012-11-03T07:40:59Z,3,sad_video3 Leon the profession (1).xlsx
83,@Michael-xm4ux,0,Thanos had the same reaction when he saw iron man snap his fingers.,2020-12-23T14:36:24Z,3,sad_video3 Leon the profession (1).xlsx
84,@Zipotricks,4,"This must be one of the best maincharacter deaths ever ;-;
The blood, the angles, the dialogue. I just expected leon to say ""this is the ringtrick"" or smth but that was cute too x3.",2019-08-25T17:34:00Z,3,sad_video3 Leon the profession (1).xlsx
85,@IVMurad-kt2xo,4,This is from Mathilda :(,2020-05-02T22:34:39Z,3,sad_video3 Leon the profession (1).xlsx
86,@Sonmmmxuan,0,"Damn, that explosion sent him straight to the Azkaban",2020-09-06T14:05:21Z,3,sad_video3 Leon the profession (1).xlsx
87,@meltemerol,0,it's the same as tokio's death,2021-10-11T16:00:43Z,3,sad_video3 Leon the profession (1).xlsx
88,@riverotter68,0,"Something Quentin Tarantino will never understand. You don't have to see violence to know it's taking place. Watching this from Leon's POV where he starts to fall, you know what's going on without seeing blood and bullets.",2023-01-23T19:41:35Z,3,sad_video3 Leon the profession (1).xlsx
89,@toufiknouna893,0,A human being who didn't see this masterpiece is a deprived person .,2022-12-30T15:47:18Z,3,sad_video3 Leon the profession (1).xlsx
90,@LyriczBeast,4,"): first time watching this movie couple days ago, this part had me in tears ngl",2022-04-23T07:14:17Z,2,sad_video3 Leon the profession (1).xlsx
91,@babaganoush4551,4,This is really makes me cry,2020-10-25T07:56:46Z,2,sad_video3 Leon the profession (1).xlsx
92,@tapitapi4524,0,"Do I blame Mathilda? Yes. If she never went out to try to do things herself, she wouldn’t have been found out by Stansfield, the S.W.A.T would’ve never been sent to follow her and Leon wouldn’t have to go through what they did that day. This wouldn’t have happened.",2021-07-26T16:47:08Z,2,sad_video3 Leon the profession (1).xlsx
93,@christophercarlisle7887,4,Stansfeild was a cruel bastard,2023-01-08T07:43:17Z,2,sad_video3 Leon the profession (1).xlsx
94,@solomonkane1058,0,"super film,Leon this super killer ",2017-03-14T23:52:26Z,2,sad_video3 Leon the profession (1).xlsx
95,@farikazeel7223,4,"The ending was sad, the girl gonna be used by that fat contracter.",2021-08-20T12:44:15Z,2,sad_video3 Leon the profession (1).xlsx
96,@roosajv,4,i cried,2017-12-11T20:07:07Z,2,sad_video3 Leon the profession (1).xlsx
97,@wishkemal,4,NOOOO TOKYO İS DEAD 😭😭🤧,2021-09-04T21:22:02Z,2,sad_video3 Leon the profession (1).xlsx
98,@andracoz,0,When your about to Escape from Tarkov and some rat ruins your dreams.,2020-03-02T12:06:59Z,2,sad_video3 Leon the profession (1).xlsx
99,@ihavenoideawhatiamdoingdea4316,4,"He knew he was gonna die, he had bombs attached to him... this is so sad..",2020-11-16T17:31:16Z,2,sad_video3 Leon the profession (1).xlsx
100,@Teddy-vr2bk,4,Song very saddest,2020-01-10T19:14:37Z,2,sad_video3 Leon the profession (1).xlsx
101,@masoncringe2585,0,Money Heist got me thinking of this again,2021-09-05T07:43:41Z,2,sad_video3 Leon the profession (1).xlsx
102,@samkresil6011,1,"2:55 Burn in hell,Stansfield",2018-06-05T11:56:57Z,2,sad_video3 Leon the profession (1).xlsx
103,@landgassa6780,0,"they should have made a prequel to this movie. I would have loved to know more about Stansfield, and how he got like he was at the end.",2022-01-09T16:15:15Z,2,sad_video3 Leon the profession (1).xlsx
104,@chriz9959,0,who saw Stansfield in the movie at 0:47 ?,2022-01-09T15:55:54Z,2,sad_video3 Leon the profession (1).xlsx
105,@fan-madeguy4985,0,I just realized that this is the only scene that Leon and Stansfield first met and both died.,2021-12-12T05:37:23Z,2,sad_video3 Leon the profession (1).xlsx
106,@mohammedhosny6924,0,Here after Money Heist,2021-09-06T17:01:39Z,2,sad_video3 Leon the profession (1).xlsx
107,@vlerazejnullahu4746,0,This is so similiar to Tokyo's death from Money Heist Its just Wow😭🥺💔,2021-09-07T23:37:39Z,2,sad_video3 Leon the profession (1).xlsx
108,@Aoful,4,Man I can't not cry. It gets me everytime,2021-11-23T16:08:03Z,2,sad_video3 Leon the profession (1).xlsx
109,@lzluna6802,0,"ONE OF THE BEST EXPLOSION SEQUENCES EVER,VERY CINEMATIC",2020-11-14T21:47:08Z,2,sad_video3 Leon the profession (1).xlsx
110,@lukenorth7127,0,"Stansfield: “It’s when you start to become really afraid of death that you learn to appreciate life.”  

Also Stansfield: Realizes he will die in 2-3 seconds. “Shit.” —Nonchalant level 10/10.",2021-12-11T15:12:00Z,2,sad_video3 Leon the profession (1).xlsx
111,@latoyawe,0,"I felt the same way and wondered as to why they haven't made a p2 yet showing what has happen to her.
",2013-03-22T22:43:48Z,2,sad_video3 Leon the profession (1).xlsx
112,@TheGovinda777,0,"Oh I know. In way it is ironic because he holds himself to a moral high ground (no women, no kids) yet he is a professional killer, one of the best. That in itself makes the film much deeper than many seem to see.",2013-01-22T17:46:19Z,2,sad_video3 Leon the profession (1).xlsx
113,@meatball5336,0,Are there any drama/action movies that are anywhere near this incredible? Someone give me something close!!!!,2021-02-22T02:36:02Z,2,sad_video3 Leon the profession (1).xlsx
114,@RCASD,0,"Bet there wasn't enough left of Stansfield to fill a coffee cup.
",2012-10-23T22:04:13Z,2,sad_video3 Leon the profession (1).xlsx
115,@michaelbaumgarten5471,4,This scene can make a person cry like watching a scene from carlitos way lol,2021-06-15T11:07:21Z,2,sad_video3 Leon the profession (1).xlsx
116,@SWAMPburning,4,...WHY LEON!?!?!?!,2012-07-22T00:07:38Z,2,sad_video3 Leon the profession (1).xlsx
117,@howardlam6181,0,Matilda got him killed pretty much. If she stayed a bit longer at home. He would've got the boss later. The no more of that ambush. But kids are kids...,2021-07-09T14:56:32Z,2,sad_video3 Leon the profession (1).xlsx
118,@theray9855,1,Leons death was so sad and stansfields death is so satisfying. Welp atleast leon will reunite with his first love or girlfriend,2021-06-17T14:26:39Z,2,sad_video3 Leon the profession (1).xlsx
119,@absias1,1,Every movie maker must watch this movie. EVERYONE!,2021-06-18T16:50:32Z,2,sad_video3 Leon the profession (1).xlsx
120,@richardroberts6021,0,"Didn't he shoot leon right at the base of the neck? That absolutely should have killed him instantly, and even if it didn't it would probably have paralyzed him from the neck down meaning he couldn't move his arms to pull the pin. Yes I get it's a movie and he's supposed to die either way but at the very least maybe they have stanfield shoot him in the lower back, fatal shot but he can still use his arms",2021-04-13T18:46:30Z,2,sad_video3 Leon the profession (1).xlsx
121,@_JustSomeDude_,0,Wonder if Stansfield liked the ring trick,2023-01-24T20:15:02Z,1,sad_video3 Leon the profession (1).xlsx
122,@JohnConquest223,0,Is it bad that I was rooting for Stansfield throughout the movie? I know he's the villain but I can't help but to love his character!,2012-12-10T10:04:57Z,1,sad_video3 Leon the profession (1).xlsx
123,@neslisahkaraca818,4,"ı always crying when ı watch this movie:,,,( ",2012-10-03T17:01:43Z,1,sad_video3 Leon the profession (1).xlsx
124,@wittafa,0,🗣LEEEOOOOONNNNN‼️,2021-05-29T19:41:28Z,1,sad_video3 Leon the profession (1).xlsx
125,@suagesoul,4,oww.. This is very bad :(,2012-09-18T13:58:54Z,1,sad_video3 Leon the profession (1).xlsx
126,@theunknownanonymous7795,1,At least stanfield died to,2018-11-14T23:30:29Z,1,sad_video3 Leon the profession (1).xlsx
127,@ManatedMan,4,"Just saw the movie on Netflix. 
Hated this scene though I knew it was going to happen. 😑",2021-10-18T07:20:20Z,1,sad_video3 Leon the profession (1).xlsx
128,@TabsT-vy5jy,0,Some next level acting in this movie,2019-04-05T00:17:52Z,1,sad_video3 Leon the profession (1).xlsx
129,@aeliades1344,0,Damn gary old man aka  jim gordon (dark knight) plays a good bad guy,2019-04-21T03:23:33Z,1,sad_video3 Leon the profession (1).xlsx
130,@diarmaidcallan8703,0,One in a million,2022-03-25T17:59:39Z,1,sad_video3 Leon the profession (1).xlsx
131,@NostalgicMem0ries,0,that means oldman made his best job in acting... like hopkins in silence of lambs and ledger in batman :),2012-12-22T11:04:38Z,1,sad_video3 Leon the profession (1).xlsx
132,@NostalgicMem0ries,0,dont talk about shit in masterpiece video.,2012-12-22T11:01:23Z,1,sad_video3 Leon the profession (1).xlsx
133,@angelicamaldonado7680,0,"Notice how careful Stansfield is before getting too close to a dying Leon. First he moves him with the tip of his gun , and he quickly points his gun again in case that Leon has any tricks left while he dies. Then he carefully removes Leon's hand from his pocket, then he carefully looks at Leon's other moving hand. Then Stanfield felt safe and was distracted by Leon's story about leaving somethimg from Mathilda. When Stanfield opens his hand, he is clueless and still feels like searching Leon. That didn't turn out so well for him loll.",2022-09-28T21:23:49Z,1,sad_video3 Leon the profession (1).xlsx
134,@josemirandaber,0,"why leon says ""stansfield?"" like he knows him?",2013-08-09T01:37:11Z,1,sad_video3 Leon the profession (1).xlsx
135,@speedy94sp94,4,Stansfield was a bastard and his last word describes his personality perfectly. He deserved the death. I cried when Leon say Mathilda's name and when he died. Leon actually had a great heart,2023-06-02T20:02:01Z,1,sad_video3 Leon the profession (1).xlsx
136,@uningenieromas,0,You can catch a glimpse of Stansfield hiding at 0:48.,2023-07-24T23:00:08Z,1,sad_video3 Leon the profession (1).xlsx
137,@warrenadams2283,4,"I remember the first time i watched this film, and this clip was truly gut renching and left me shocked....fantastic actors, music  and story",2023-01-11T22:06:32Z,1,sad_video3 Leon the profession (1).xlsx
138,@burakk7299,2,"LCDP-SPOİLER
The end of this drama looks like Tokyo's death scene 😀",2021-10-07T17:39:15Z,1,sad_video3 Leon the profession (1).xlsx
139,@angelicamaldonado7680,4,Funny that he mentions Stanfield's name as if to confirm who he is to make sure that he takes the right guy with him.,2022-09-28T21:16:47Z,1,sad_video3 Leon the profession (1).xlsx
140,@asmasemi4279,0,Can someone please tell me the name of this track :),2013-07-31T17:52:40Z,1,sad_video3 Leon the profession (1).xlsx
141,@hideralmosawi1606,0,Indeed this sad ending scene affected me more than any film i had seen it before never been boring,2022-08-09T18:57:49Z,1,sad_video3 Leon the profession (1).xlsx
142,@InflatedOpinions,1,Just watched this for the first time today and I adore how you can see Stansfield hiding to the side before walking behind Leon.,2022-06-06T20:37:50Z,1,sad_video3 Leon the profession (1).xlsx
143,@adriansanchez8003,0,"Italian Kamikaze, classic :P",2017-05-05T04:27:25Z,1,sad_video3 Leon the profession (1).xlsx
144,@idreeks4148,0,"I always wonder why he didnt bring any gun even if he had managed to escape. I mean he is a professional hitman, he should have checked every corner before he passed the room where stan was hiding.",2024-04-06T15:56:18Z,1,sad_video3 Leon the profession (1).xlsx
145,@samkresil6011,0,I was going to think Natalie Portman was very young in this film.,2017-12-07T21:54:37Z,1,sad_video3 Leon the profession (1).xlsx
146,@nezru,0,"2:53 - 2:56...Perfect ""WTF...BOOM!"" opportunity.",2013-10-17T20:26:48Z,1,sad_video3 Leon the profession (1).xlsx
147,@neojso,0,"Nowadays movie is planned for part 2,3 456 so the protagonist won't die even the story line deem it necessary but the big movie company wouldn't allow, until very end",2021-06-01T10:04:47Z,1,sad_video3 Leon the profession (1).xlsx
148,@TheUTubeTeamSucks,1,"One of my fave films, and an epic soundtrack. I've actually seen whats called the International Cut, with extra scenes, which were removed as they tested poorly with US audiences apparently. Whilst some of them didnt really add to the film IMO, I thought that the sequence with Matilda going ""training"" with Leon was good, especially as it includes a scene where we see the grenade pin for the first time, which woulda kinda have added extra emphasis to this scene I think.",2021-09-08T22:35:16Z,1,sad_video3 Leon the profession (1).xlsx
149,@mevofuo420,0,dude..........,2021-08-30T15:22:16Z,1,sad_video3 Leon the profession (1).xlsx
150,@leopoldoastudillo7189,4,"This breaks my heart everytime I watch it...so I never watch it, except for today. 💔",2021-03-07T23:44:24Z,1,sad_video3 Leon the profession (1).xlsx
151,@cerebral_kino9519,0,1994 was such a Goodyear for movies,2021-02-26T14:06:35Z,1,sad_video3 Leon the profession (1).xlsx
152,@jonathanteasdale4412,1,And what a performance by Gary Oldman!....and that my friend is SERIOUS acting in this film,2021-01-20T17:14:48Z,1,sad_video3 Leon the profession (1).xlsx
153,@BerishaFatian,0,Grenades usually explode after five seconds not after you say shit.,2021-07-08T20:29:31Z,1,sad_video3 Leon the profession (1).xlsx
154,@TwoStacks217,0,I remember seeing this movie for the first time as a kid and thinking it was awesome I always thought it was called Leon the professional though,2020-12-20T17:15:21Z,1,sad_video3 Leon the profession (1).xlsx
155,@UptownNYC,0,"For those who live in Washington Heights, Manhattan... was this scene filmed in the building on Broadway between 158-159th Street?? Only reason I can kinda tell is the Apple Bank across the street which is still there today in 2021, but the VIM Drugstore is now a McDonalds. Let me know guys...",2021-07-12T23:35:06Z,1,sad_video3 Leon the profession (1).xlsx
156,@JustSomeGuyWhoisLost,0,Definetly anyone's last line before they messed up: SHIT,2021-07-14T09:53:04Z,1,sad_video3 Leon the profession (1).xlsx
157,@sox5242,0,Shit...Boom,2020-10-02T23:42:33Z,1,sad_video3 Leon the profession (1).xlsx
158,@alexanderfriel7160,0,Almost he did it 😥😥👎🏼👎🏼😞😞,2020-09-30T14:04:04Z,1,sad_video3 Leon the profession (1).xlsx
159,@GamingTohru698,0,Le Frog (Flushed Away) meets Viktor Reznov (COD World at War),2020-09-09T05:51:38Z,1,sad_video3 Leon the profession (1).xlsx
