dialog,act,emotion
"[|Can I help you ? |
 | I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . |
 | I'll certainly try to help you . What topic is your paper on ? |
 | My paper is on the influence of television on children . |
 | There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . |
 | Thank you for you help . |]",[2 3 2 1 3 4],"[0,0,0,0,0,4]"
"[|Here ’ s your hot dog and beer . What happened ? Did I miss anything ? |
 | Yeah , Cal Ripen just hit a home run . | | What ’ s the score ? |
 | Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base . |
 | So Baltimore is winning ? | | Right . |
 | This is a really great place to watch a baseball game . |
 | Yeah , there isn ’ t a bad seat in the place . |
 | The fans are great here , too . Not like in Philadelphia . |
 | It was a great idea to spend a day watching a game . |
 | Yeah , it reminds you why they say baseball is America ’ s favorite pastime . |]",[2 1 2 1 2 1 1 1 1 1 1],"[0,0,0,0,0,4,4,4,4,4,4]"
"[|How do you like the pizza here ? |
 | Perfect . It really hits the spot . |]",[2 1],"[4,4]"
"[|I was scared stiff of giving my first performance . |
 | Were you ? your performance was excellent . |
 | Thank you for your kindly words . |]",[1 1 1],"[3,4,4]"
"[|Excuse me . Could you please take a picture of us with this camera ? |
 | Sure . Which button do I press to shoot ? | | This one . |
 | Do I have to focus it ? |
 | No , this is a focus-free camera . All you have to do is point and press the button . |
 | All right . Say cheese ! |]",[3 2 1 2 1 4],"[0,4,0,0,0,4]"
"[|How do you do , Prof.Smith . |
 | How do you do , Ms . Yang.You speak very good English . |
 | Thank you . I begin to like English even when I was a child . |
 | Where did you learn it ? |
 | At school , in China.This is my first time to be out of my own country . |
 | It's amazing . |]",[1 1 1 2 1 1],"[0,4,4,0,0,6]"
"[|Where is John ? I can't find him anywhere . |
 | Haven't you heard that he is in prison ? | | What ? Beg your pardon . |
 | John is in prison now . He was copped outstealing . |
 | I just cann't believe my ears ! |]",[2 2 2 1 1],"[0,0,6,0,6]"
"[|Can I help you ? |
 | I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . |
 | I'll certainly try to help you.What topic is your paper on ? |
 | My paper is on the influence of television on children . |
 | There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . |
 | Thank you for you help . |]",[2 3 2 1 3 4],"[0,0,0,0,0,4]"
"[|Hey , Ted . What are you up to this Friday ? |
 | Well , I have the day off from work . |
 | That ’ s great ! Do you have any plans ? |
 | Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy . |
 | Sounds nice . |
 | Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies . |
 | Can I stop by ? | | Sure . Any time . |]",[2 1 2 1 1 1 3 4],"[0,0,4,0,4,0,0,0]"
"[|What do you plan to do for your birthday ? |
 | I want to have a picnic with my friends , Mum . |
 | How about a party at home ? That way we can get together and celebrate it . |
 | OK , Mum . I'll invite my friends home . |]",[2 1 3 4],"[0,0,4,4]"
"[|I feel like going for a drink , it's been a long day . |
 | Great idea ! Peter , I could use the drink . |
 | How about the new bar across road ? |
 | Sounds good . The food there is fantastic , too . |
 | I agree , I had lunch there last week . |
 | excellent ! That sounds like a plan . |]",[3 4 3 4 1 1],"[4,4,4,4,4,4]"
"[|Hi , Mr . Wang . Do you feel like going boating with me ? |
 | Sounds interesting , I haven't gone boating for some time now , and what time ? |
 | How about tomorrow afternoon ? | | Sure . Where shall I meet you ? |
 | At the gate of the park . | | Great . I look forward to meeting you . |
 | See you then . | | See you . |]",[3 2 3 2 1 4 1 1],"[4,4,4,4,4,4,4,4]"
"[|I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ? |
 | Yes , it's so exciting , though I had the most falls in our skiing team . |
 | Isn't there any coach to teach you how to ski ? |
 | Of course there is . The top-level coaches there are from the State Sports General Administration . |
 | Could you move smoothly ? |
 | Yes.My face even ached in the icy wind . |
 | What happened afterwards ? |
 | I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was . |
 | Poor girl ! |]",[2 1 2 1 2 1 2 1 1],"[0,4,0,0,0,0,0,0,0]"
"[|You look pale recently . |
 | Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . |
 | Take good care of yourself . | | Thank you . I will . |]",[1 1 3 4],"[4,4,4,4]"
"[|How about going to the cinema tonight ? |
 | That's great . What's on tonight ? |
 | I am not sure about the name of the film , but I know it's a romantic one . |
 | Romantic ? I am afraid I like thrillers better . |
 | Don't you think it's too bloody ? |
 | On the contrary , very exciting . |]",[3 4 1 1 2 1],"[4,4,0,0,0,0]"
"[|I have made up my mind . I am getting a tattoo . |
 | Really ? Are you sure ? |
 | Yeah ! Why not ? They are trendy and look great ! I want to get a dragon on my arm or maybe a tiger on my back . |
 | Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot ! |
 | Really ? |
 | Of course ! They use this machine with a needle that pokes your skin and inserts the ink . |
 | Oh , I didn ’ t know that ! I thought they just paint it on your skin or something . |
 | I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic . |
 | Maybe I should just get a tongue piercing ! |]",[1 2 1 1 2 1 1 1 1],"[0,6,0,0,6,0,0,0,0]"
"[|Oh , no ! | | How dreadful ! | | Look at the view from the window . |
 | Oh , dear . That ’ s terrible . Not at all what I expected . |
 | It ’ s awful , isn ’ t it ? |
 | I can ’ t bear to look at it . I ’ m rather disappointed . |
 | It can ’ t be helped . |]",[1 1 3 4 1 1 1],"[2,2,0,2,2,2,0]"
"[|What do you do in your free time , Nancy ? |
 | Well , I like playing the violin . |
 | Really ? How long have you been playing the violin ? |
 | About ten years so far . I started learning when I was in middle school . |
 | That's really interesting . |
 | Sure . So what about you ? Do you have any hobbies ? |
 | Well , I like collecting matchbox ! I'm not sure if that counts , though . |
 | Of course it does . Everybody has his own hobby . |]",[2 1 2 1 1 2 1 1],"[0,0,0,0,4,4,4,4]"
"[|What sports do you like to play ? | | I like baseball and basketball . |
 | How about football ? |
 | In my country football is brand new , so I never learned the game when I was younger . |
 | It's a very popular game in America . |
 | Yeah . I heard a lot about it . Is it really that fun ? |
 | For me , it's one of those games that are fun to both watch and play . |
 | Are you a football player ? |
 | No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football . |
 | What is two hand touch and flag football ? |
 | Instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing . |
 | I see . It's safer then right ? |
 | Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us . |
 | I'll give it a try . Give me a call and let's go down together . |
 | Ok . I'll call you Saturday morning . | | Great . |]",[2 1 2 1 1 2 1 2 1 2 1 2 3 4 1 1],"[0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4]"
"[|What upsets you ? |
 | My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date . |
 | It is not your mother finding one for you ? |
 | I will find one myself , of course . I ’ m a modern girl . |
 | Perhaps you can try the three minutes date , the latest type . |
 | You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea . |
 | No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes . |
 | I don ’ t think it makes sense . Three minutes is such a short time . |
 | I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight . |
 | Anyway , I don ’ t want to post my face up for sale on the internet like that . |
 | Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher . |
 | I don ’ t want to post my personal information on the internet . I ’ m not knowing who is reading it . |]",[2 1 2 1 3 4 1 1 1 1 1 1],"[0,5,0,0,0,2,0,0,0,2,0,2]"
"[|Are you going to the party on Saturday ? |
 | I was thinking about it . Are you ? |
 | Yeah , I heard it's going to be a lot of fun . |
 | Really ? Well , what time does it start ? | | It starts at 8 |
 | Well , who all is going to be there ? | | Everyone from school . |
 | How do you know it's going to be so fun ? |
 | This party is going to have a DJ , food , and drinks . |
 | Wow , that does sound like it's going to be fun . |
 | So am I going to see you at the party ? | | Yeah , I will be there . |]",[2 2 1 2 1 2 1 2 1 1 2 1],"[0,0,4,6,0,0,0,0,4,4,4,4]"
"[|Could you talk to me for a few minutes about my grades ? |
 | Step into my office for a moment . What is your concern ? |
 | Am I failing ? |
 | Let's go on the computer to see what's up . Do you think you are doing well ? |
 | I am pretty sure that I am in trouble . |
 | I can see that you are trying , but where do you think you could improve ? |
 | I missed a few classes ; I need to make sure I come to school on a regular basis . |
 | Having a regular study routine and following it is very important , right ? |
 | I'll try ; it's hard ! | | Thanks for stopping by ! |]",[3 2 2 2 1 2 1 3 4 1],"[0,0,0,0,5,0,0,0,0,0]"
"[|Good luck on your test tomorrow . We'll be crossing our fingers for you ! |
 | Thanks . |]",[1 1],"[4,4]"
"[|I'll never ever work together with him ! |
 | What happened ? Quarrel again ? |
 | Will you take my materials back from him for me ? Please ! |
 | Don't ask me . I don't wanna be involved in your quarrel . |]",[1 2 3 4],"[1,0,1,0]"
"[|Oh , my God ! I've been cheated ! | | What ? What did you buy ? |
 | It's a brick ! I can't believe how stupid I was . Damn it ! |
 | What is it ? Why did you buy a brick ? |
 | There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . |
 | And ? |
 | So he said he'd sell me one for twenty dollars . A four-hundred-dollar camera for twenty bucks . |
 | And it's a brick ? | | Yes . |
 | I can't believe how stupid you are . Why didn't you open the box ? |
 | I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it's opened , other people won't believe it's new . |
 | So he had the boxes wrapped in plastic . |
 | Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new . |
 | But why would a guy be selling new video cameras for twenty dollars ? |
 | He said he had to get rid of them . They were stolen . |
 | Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated ! |
 | C'mon , don't blame me ! I thought it was a new camera . We could use it.We were even thinking about buying a camera . I don't understand how he could have such a perfect-looking box . |
 | That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there.Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks . |
 | You're right , Sarah . I was a fool . I can't believe it . How could I fall for such a trick ? |]",[1 2 1 2 1 2 1 2 1 2 1 1 1 2 1 1 1 1 1],"[1,6,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0]"
"[|Hey , Mary , what's up ? |
 | Just so so . Last night I met this great guy at the bar and we had such a wonderful time , so we decided to meet again tonight . |
 | Oh , that's exciting . What does this guy look like ? Is he hot ? |
 | Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . |
 | It seems you two are a good match . What qualities do you look for in a friend ? |
 | There's nothing definite I think . I don't have a list or anything , but when I first meet somebody , I can usually tell whether or not that person is going to be a good friend . It seems I have radar helping me spot new friends . |
 | Well , that's something I've never heard of . But if you ask me what I value most in a friend , I would say honesty . |
 | I agree . You can't expect a close relationship with a dishonest person . Those are the people that will turn their back on you when you are in need . |
 | Yeah , I know . A friend in need is a friend indeed . I don't need fair-weather friends either . |]",[2 1 2 1 2 1 1 1 1],"[0,0,4,0,4,0,6,0,0]"
"[|What ’ s up ? You don ’ t look too good . |
 | Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! |
 | I liked physics . It ’ s all math , really . arcs , curves , velocity , cool stuff . |
 | Yeah , yeah , but today ’ s lesson was all about the creation of the universe . |
 | A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me . |
 | It ’ s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff . |
 | Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says . |
 | Math , sheath . What ’ s the evidence ? |
 | There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH ! |
 | Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ? |
 | Dude , don ’ t equivocate . A theory only becomes a theory after withstanding rigorous testing . You slept through class , didn ’ t you ? |]",[2 1 1 1 1 1 1 2 1 2 1],"[0,2,0,0,0,0,0,0,0,0,0]"
"[|It smells like an ashtray in here ! |
 | Hi honey ! What ’ s wrong ? Why do you have that look on your face ? |
 | What ’ s wrong ? I thought we agreed that you were gonna quit smoking . |
 | No ! I said I was going to cut down which is very different . You can ’ t just expect me to go cold turkey overnight ! |
 | Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . |
 | I know , I know . I am trying but , I don ’ t have the willpower to just quit . I can ’ t fight with the urge to reach for my pack of smokes in the morning with coffee or after lunch ! Please understand ? |
 | Fine ! I want a divorce ! |]",[1 2 1 1 1 1 1],"[1,0,1,0,1,0,1]"
"[|It seems that you get antsy when you hear I praise another guy . |
 | I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him . |
 | How come you think of him that way ? |
 | Because you seem to have lost your vigilance . You should be on the watch out . |
 | I have no reason to distrust him . He's never caused any harm . |
 | Isn't there anything that sounds fishy ? |
 | Nothing smells a rat . I told you that he's an all-right guy . |
 | All-right guy ? All right . Let's talk about something else instead . |]",[1 1 2 1 1 2 1 2],"[0,2,0,2,0,1,0,6]"
"[|Cheese ! It tastes like cardboard . |
 | I think so . Maybe that ’ s why it ’ s cheap here . |]",[1 1],"[2,2]"
"[|hi , Emily , do you know that guy over there ? |
 | The tall one ? Sure , that's Drive , he works with Lily . |
 | He is cute.What dose he do ? |
 | I'm not sure , he is a manager I think . |
 | Really ? Are you going to introduce us ? |
 | Well , he has already taken you know , that's his wife right there . |]",[2 1 2 1 2 1],"[0,0,0,0,6,0]"
"[|You didn't ring me last night . You said you would . |
 | I'm sorry to have made you disappointed . |
 | That's all right . But why were you so rude to me at lunch . |
 | Was I ? Sorry , I didn ’ t mean to be . I do apologize . |
 | And why are you yarning now ? Are you bored ? |
 | Forgive me darling . I'm very tired . |]",[1 1 2 1 2 1],"[0,5,0,6,0,0]"
"[|Hi , Nicole . Did you have a good weekend ? |
 | Yes , I did . But I feel tired today . | | Really ? Why ? |
 | Well , on Saturday I cleaned the house and played tennis . Then on Sunday I hiked in the country . |
 | And I bet you studied , too . |
 | Yeah . I studied on Sunday evening . What about you ? |
 | Well , I didn't clean the house and I didn't study . I stayed in bed and watched TV . |
 | That sounds like fun , but did you exercise ? |
 | Sort of . I played golf on my computer ! |]",[2 1 2 1 1 2 1 2 1],"[0,0,6,0,0,0,0,4,0]"
"[|Excuse me . I'm afraid you're in my seat . You've moved my books . |
 | Oh , dear . | | You must have realized somebody was here . |
 | Oh , well , I looked around . There wasn't any other space . I waited a while and nobody came . I'm sorry if I've taken your place . |]",[1 1 1 1],"[0,6,0,0]"
"[|What ’ s the life expectancy in your country ? |
 | I ’ m not sure , but probably about 75 years . How about in your country ? |
 | About 70 , I think . This newspaper article talks about the problems of an aging population . It ’ s a problem that will soon affect most of the world . |
 | I heard that the government might need to increase the retirement age , because otherwise there will not be enough workers to support the young and the elderly . |
 | Perhaps we need to have more babies ! Tina gave birth to a baby boy yesterday . |
 | Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment . |
 | How ’ s your son these days ? |
 | Oh , he ’ s fine . Kids seem to grow up very quickly nowadays . |
 | He ’ ll be a teenager before you know it ! Teenagers are often rebellious ! When do you mine it is a good age to have a child ? |
 | I had mine when I was 24 . that ’ s a little young . I ’ d suggest you wait until you are in your late twenties . , or even in your early thirties if you have a good career . |
 | Yes , I think you ’ re right . I ’ m thinking about having a child , but not just yet . |
 | Is there a big generation gap between parents and their children in you country ? |
 | Yes , there is . Teenagers do not want to live traditional lives . They want to go out , have fun , and explore the world . They want to develop their own view of life . Parents usually try to discourage them , but they don ’ t often succeed . |
 | Parents usually give their children more freedom in my country . Sometimes they give them too much freedom . |
 | It ’ s almost impossible to get the right balance . If you are too strict , kids might ignore you . If you are too lenient , they might go wild . |]",[2 2 1 1 1 2 2 1 2 1 1 2 1 1 1],"[0,0,0,0,0,4,0,0,0,0,0,0,0,0,0]"
"[|I'm going to Japan this year on vacation . |
 | Have you ever been to America ? | | No , but I'd really like to . |
 | You'd like it . |]",[1 2 1 1],"[4,4,4,4]"
"[|Hey , Mark , long time no see . |
 | Julie ! It's good to see you again . How have you been ? |
 | Great . I just got back from a week's vacation in Thailand . |
 | Really ? How was it ? | | Fantastic ! I didn't want to come back . |
 | I hear the beaches in Thailand are beautiful . |
 | They are . And not only that the people are friendly , but also the food is delicious , not to mention cheap . |
 | I do like Thai food . Did you see much of Bangkok ? |
 | Not much . I've got enough city life in Beijing . |
 | I know what you mean . I could use a vacation myself . |
 | Hey , wouldn't it be great if we could go to Thailand together sometime ? |
 | Yeah , it sure would . |]",[1 2 1 2 1 1 1 2 1 1 3 4],"[4,4,4,4,4,4,4,4,4,4,4,4]"
"[|Congratulations , Vivian . You won the grand prize , again . |
 | Isn't it just great ! I just knew I'd win ! |
 | You did ? How ? Did you wear red underwear again this year ? |
 | Not only that ! | | Tell me ! Tell me ! What's your secret ? ! |
 | OK , OK . I'll whisper it to you , but you have to promise not to tell anyone ! |
 | What ? ! You did that ? ? ! ! ! |]",[1 2 2 1 2 1 2],"[4,4,6,0,0,0,6]"
"[|Excuse me , is this seat taken ? | | No , please feel free . |
 | Thanks a lot . | | Do you work in Shanghai ? |
 | Yes I do . How about you ? |
 | No , I'm a tourist . This place is amazing ! It's much bigger than I imagined , and much more exciting ! There's so much to see here . |
 | You can say that again ! It's much more modern than people imagine . Where are you from ? |
 | Um , well let's see ... I'm from Kansas originally . A much quieter and more peaceful place than here , that's for sure ! |
 | Uh huh ... |]",[2 3 4 2 2 1 2 1 1],"[0,0,4,0,0,0,0,0,0]"
"[|Boy ! What a beauty ! I fall in love with her at the first sight . |
 | The beauty under the tree ? | | Of course.No girl is more charming . |
 | She is a young man ! |]",[1 2 1 1],"[4,0,4,0]"
"[|Excuse me.Where do I register ? |
 | Oh , over there in Pacific Pavilion . |
 | Is that the large , white building ? | | Yeah , that's it . |
 | Thanks . |]",[2 3 2 1 1],"[0,0,0,0,4]"
"[|What ’ s the plot of your new movie ? |
 | It ’ s a story about a policemen who is investigating a series of strange murders . I play the part of the detective . He has to catch the killer , but there ’ s very little evidence . It ’ s a psychological th |
 | Did you enjoy making the movie ? We heard stories of disagreement with other actors and with the director . |
 | I have had disagreement with every director . I ’ Ve worked with . We ’ Ve always disagreed in a friendly way and we have always resolved our differences . It was the same when I made this movie . I don ’ t no |
 | Critics are not very happy with the movies that you ’ Ve made recently . Does that bother you ? |
 | Not at all . The feedback from audience has been great . I care about what they think more than what the critics think . |
 | Did you do you own stunts in the movie ? |
 | I wanted to , but my insurance company wouldn ’ t let me . All of my stunts were done by a stuntman . As you know , I used to do my own stunts , but I ’ ll leave that to the experts in future . |
 | Thank you very much for doing this interview . |
 | My pleasure . Have you seen the movie yet ? |
 | Yes . I have . I liked it very much . Like you , I was very impressed with Rachel ’ s performance in the movie . She ’ s going to be a star . |]",[2 1 2 1 2 1 2 1 1 2 1],"[0,0,0,0,0,0,0,0,4,4,4]"
"[|Oh , man . I had the best supper last night . My wife made a stir-fry and it was amazing ! |
 | I love stir fry crispy bitesize vegetables covered in a mixture of soy sauce and oyster sauce . Wilted greens and fresh bean sprouts . Throw in some onion and garlic and ginger ! Mmm ! Mmm ! It ’ s almost lunchtime . I would die for a plate of stir fry right now ! |
 | Well , you can keep the vegetables , I ’ ll take the meat . The stir fry my wife made was really hearty , with chunks of beef and slivers of bell peppers and onion ... |
 | What ? You call that a stir fry ? More meat than vegetables ? That ’ s the worst insult you could throw at a Chinese stir fry . What a disgrace to the wok she fried it in ! What you had is equivalent to a fajita without the wrap ! |]",[1 1 3 2],"[4,4,0,6]"
"[|Thank god you showed up when you did ! He ’ s insane ! Do you think we should call the police ? |
 | Don ’ t worry about it , I ’ ll call my friend and have him take care of it . I can ’ t believe he was stalking you all these years . What a nut job ! |
 | I know ! Well ... he said I ’ m not pregnant . I ’ m sorry if I got you all worked up over nothing . I want you to know that I didn ’ t do it on purpose ... |
 | Don ’ t apologize ! From the moment I met you , not a day has gone by when I haven ’ t thought of you.And now that I ’ m with you again , I ’ m ... I ’ m just scared , Veronica . The closer I get to you , the worse it gets . The thought of not being with you , I mean , I just can ’ t handle it ! We were made for each other , Veronica . You are my everything , my soul mate . What can I do ? |
 | Just hold me ... I ’ ll always be here for you , no matter what . And together , we can tackle whatever life throws at us . I believe in us , steven . |
 | I ’ m so happy to hear that ! I knew we belong together . I love you so much . |]",[2 3 1 3 3 1],"[0,0,0,0,0,4]"
